JOURNAL NAME;AREA
E-journal of Chemistry ; engineering
Economica ; social
Environmental Research Letters ; earth
Social Science Information ; earth
Cell Biochemistry and Function ; health
Petrology ; earth
Chemical & Engineering News ; engineering
Interactive Learning Environments ; social
New Zealand Veterinary Journal ; diseases
Japanese Journal of Veterinary Research ; diseases
Review of International Political Economy ; social
Journal of Operator Theory ; mathphysics
Management and Organization Review ; social
Archaeology ; humanities
Mutation Research-dna Repair ; diseases
Critical Reviews in Neurobiology ; brain
Boletin De La Sociedad Botanica De Mexico ; bio
Geodiversitas ; earth
Human Movement Science ; brain
Horticultura Brasileira ; bio
Journal of Biological Rhythms ; brain
Soil Biology & Biochemistry ; bio
Bosque ; bio
Current Alzheimer Research ; brain
Journal of Radioanalytical and Nuclear Chemistry ; medical
Biological Journal of The Linnean Society ; bio
British Journal of Infection Control ; health
Cytometry ; diseases
Journal of Vibration and Acoustics-transactions of The Asme ; engineering
European Journal of Transport and Infrastructure Research ; engineering
Journal of Consumer Research ; social
Catalysis Surveys From Japan ; chem
International Research in Geographical and Environmental Education ; social
Journal of Signal Processing Systems ; eecs
Canadian Journal of Economics ; social
International Journal of Mobile Network Design and Innovation ; eecs
Saudi Journal of Gastroenterology ; medical
Physical & Occupational Therapy in Pediatrics ; brain
Icelandic Agricultural Sciences ; bio
Journal of Genetic Counseling ; medical
Periodica Polytechnica Social and Management Sciences ; social
Behavior Research Methods ; brain
Nature Immunology ; diseases
Eksploatacja I Niezawodnosc-maintenance and Reliability ; social
Journal of Group Theory ; mathphysics
Critical Reviews in Biomedical Engineering ; health
Standort ; social
Cancer Cytopathology ; medical
Applied Mathematical Finance ; mathphysics
Bioseparation ; biotech
Ornitologia Neotropical ; bio
Neurosurgery Clinics of North America ; brain
Historical Records of Australian Science ; humanities
Journal Francais D Ophtalmologie ; medical
Journal of Clinical Psychopharmacology ; brain
Peabody Journal of Education ; social
Veliger ; bio
Molecular Pharmaceutics ; chem
European Journal of Health Economics ; health
Proceedings of The Edinburgh Mathematical Society ; mathphysics
Learning Inquiry ; social
Harvard Civil Rights-Civil Liberties Law Review ; social
Endocrinology and Metabolism Clinics of North America ; medical
Annual Review of Marine Science ; earth
European Journal of Dermatology ; medical
Journal of Laser Applications ; engineering
Japanese Journal of Political Science ; social
Modern China ; social
Journal of Proteomics ; diseases
Current Urology Reports ; medical
Isis ; humanities
Seminars in Pediatric Neurology ; brain
Journal of Physiological Sciences ; health
Additives for Polymers ; chem
Scandinavian Journal of History ; humanities
Current Prostate Reports ; medical
Bulletin of Economic Research ; social
Journal Fur Praktische Chemie-chemiker-zeitung ; chem
Journal of Huazhong University of Science and Technology-medical Sciences ; health
American Journal of Critical Care ; medical
Ultraschall in Der Medizin ; medical
Studies in Science Education ; social
Clinical Psychology-science and Practice ; health
Air Medical Journal ; health
Acta Veterinaria Scandinavica ; diseases
Asn Neuro ; brain
Journal of Chronic Fatigue Syndrome ; health
East African Medical Journal ; diseases
Geoscience Canada ; earth
Bulletin of Environmental Contamination and Toxicology ; bio
Journal of Marketing for Higher Education ; social
Bariatric Nursing and Surgical Patient Care ; social
International Archives of Occupational and Environmental Health ; health
Journal of Multivariate Analysis ; social
Journal of Infection and Public Health ; health
Emerging Themes in Epidemiology ; health
Ferroelectrics ; mathphysics
British Journal of Social Psychology ; social
Clinics in Geriatric Medicine ; brain
International Journal of Business Innovation and Research ; social
Clinical Microbiology Reviews ; diseases
Cell and Tissue Biology ; diseases
Archives of Disease in Childhood ; medical
Journal of Renewable and Sustainable Energy ; engineering
International Journal of Transitional Justice ; social
Software and Systems Modeling ; eecs
Oxford Development Studies ; social
Journal of the American Podiatric Medical Association ; health
Innovative Higher Education ; social
Topics in Magnetic Resonance Imaging ; brain
Nature Reviews Immunology ; diseases
Caldasia ; bio
Qualitative Research ; social
Asian Case Research Journal ; social
Advances in Small Animal Medicine and Surgery ; diseases
Social Influence ; social
Journal of Advanced Transportation ; engineering
Journal of Assisted Reproduction and Genetics ; medical
International Journal of Antennas and Propagation ; eecs
Journal of Operational Oceanography ; earth
Korean Journal of Defense Analysis ; social
Paleoceanography ; earth
Journal of Sport & Exercise Psychology ; health
Biometrical Journal ; social
International Journal of Urology ; medical
Molecular Cancer ; medical
Journal of International Financial Management and Accounting ; social
Biochemistry ; biotech
Victorian Poetry ; humanities
Marine Geology ; earth
Health Affairs ; health
Theoretical Inquiries in Law ; social
Acta Scientiarum-agronomy ; engineering
Human Organization ; social
Express Polymer Letters ; engineering
Pathophysiology of Haemostasis and Thrombosis ; medical
American Scholar ; humanities
Neurocase ; brain
European Journal of Political Theory ; social
European Journal of Radiology ; brain
Neuro-oncology ; brain
Engineering Geology ; earth
Journal of Social Archaeology ; earth
Journal of Perinatal & Neonatal Nursing ; health
Journal of Animal and Feed Sciences ; diseases
Hepatitis Monthly ; medical
Cancer Science ; medical
Leadership ; social
New South Wales Public Health Bulletin ; medical
Drug Discovery Today: Targets ; biotech
Learning and Individual Differences ; social
Australian Family Physician ; health
New Journal of Physics ; mathphysics
International Journal of Technology and Globalisation ; social
Field Crops Research ; bio
World Views: Environment, Culture, Religion ; social
Annual Review of Analytical Chemistry ; chem
Human Resource Management International Digest ; social
Acta Biotechnologica ; bio
Viszeralmedizin ; medical
Arid Land Research and Management ; bio
Church History ; humanities
Ethnicities ; social
Microvascular Research ; medical
Seminars in Avian and Exotic Pet Medicine ; diseases
ACS Chemical Neuroscience ; chem
Mathematische Zeitschrift ; mathphysics
Asia Pacific Viewpoint ; social
Pain Reviews ; health
International Economics and Economic Policy ; social
Proceedings of the IEEE ; eecs
Water Policy ; engineering
Graefes Archive for Clinical and Experimental Ophthalmology ; health
Ear and Hearing ; health
IEEE Transactions on Neural Networks ; eecs
Journal of Psychotherapy Integration ; health
Annual Review of Ecology, Evolution, and Systematics ; bio
Harvard Environmental Law Review ; social
Zeitschrift Der Deutschen Gesellschaft Fur Geowissenschaften ; earth
Personality and Individual Differences ; social
Chicago Journal of Theoretical Computer Science ; mathphysics
Development Policy Review ; social
ACM Transactions on Computer-Human Interaction ; eecs
Ankara Universitesi Veteriner Fakultesi Dergisi ; diseases
IEEE Transactions on Network and Service Management ; eecs
Progress in Orthodontics ; health
Sociological Research Online ; social
Journal of Optics-nouvelle Revue D Optique ; mathphysics
New Medit ; social
Journal of Cell Biology ; diseases
British Journal of Surgery ; medical
Journal of Orthopaedic Science ; health
Revista Espanola De Quimioterapia ; diseases
Boundary 2-an International Journal of Literature and Culture ; humanities
Computational Economics ; social
Public Opinion Quarterly ; social
IEEE Microwave and Guided Wave Letters ; eecs
Arq-architectural Research Quarterly ; health
Journal of Applied School Psychology ; social
Journal of Constructional Steel Research ; engineering
Clinical Research and Regulatory Affairs ; social
Caryologia ; diseases
Biochemistry (moscow) Supplement Series A: Membrane and Cell Biology ; diseases
Chemico-Biological Interactions ; health
Nutrition and Cancer ; health
Utilitas ; humanities
Informes De La Construccion ; engineering
Microbes and Infection ; diseases
Communist and Post-communist Studies ; social
Journal of Autonomic Pharmacology ; medical
American Journal of Veterinary Research ; diseases
Neuroscience Research Communications ; brain
Russian Journal of Marine Biology ; bio
Deafness & Education International ; social
Journal of Water Resources Planning and Management ; engineering
Geochemical Transactions ; bio
Tectonophysics ; earth
Nondestructive Testing and Evaluation ; engineering
Brookings Papers on Economic Activity ; social
Soil Mechanics and Foundation Engineering ; engineering
Health Education ; social
Siam Journal on Applied Dynamical Systems ; mathphysics
Microwave Journal ; eecs
Surface Science Reports ; mathphysics
Australasian Journal of Dermatology ; medical
Ama-agricultural Mechanization in Asia Africa and Latin America ; engineering
Journal of Marine Systems ; earth
Journal of Musculoskeletal Pain ; health
Experimental Animals ; diseases
Journal of School Health ; health
Dermatology ; medical
Journal of Optical and Fiber Communications Reports ; mathphysics
Letters in Mathematical Physics ; mathphysics
Food Science and Biotechnology ; chem
Carbohydrate Polymers ; chem
Australian Journal of Early Childhood ; social
Revista Fitotecnia Mexicana ; bio
Current Gene Therapy ; diseases
Mammalian Genome ; diseases
Cytotherapy ; diseases
Travail Humain ; eecs
Metal Finishing ; engineering
Journal of Intellectual Disabilities ; social
Scandinavian Journal of Educational Research ; social
Behavioral Ecology and Sociobiology ; bio
Smart Materials and Structures ; engineering
European Journal of Social Work ; social
Revista De Saude Publica ; bio
Crystallography Reviews ; chem
Nukleonika ; mathphysics
Alcheringa ; earth
Hamostaseologie ; medical
Teacher Development ; social
Eighteenth-Century Studies ; humanities
Nutrition Bulletin ; medical
Chemometrics and Intelligent Laboratory Systems ; chem
Global Governance ; social
Wear ; engineering
Emc - Dentisterie ; health
Romanticism ; humanities
Journal of Integrative Plant Biology ; bio
Facies ; earth
Journal of Intellectual & Developmental Disability ; social
Child Development ; social
International Journal of Sustainable Development and World Ecology ; social
Biochemical Systematics and Ecology ; chem
Cancer Journal ; medical
Journal of The Mechanical Behavior of Biomedical Materials ; health
Irish Medical Journal ; medical
Journal of Membrane Science ; engineering
South Asia Economic Journal ; social
Prooftexts-a Journal of Jewish Literary History ; humanities
Industrial and Labor Relations Review ; social
Social Work With Groups ; social
New England Economic Review ; social
Neuroscience ; brain
Annales De Paleontologie ; earth
Coal Preparation ; engineering
Exercise Immunology Review ; health
Proceedings of the Institution of Mechanical Engineers, Part M: Journal of Engineering for the Maritime Environment ; engineering
Journal of Asia-pacific Business ; social
Nature Reviews Cardiology ; medical
Comparative Literature Studies ; humanities
Journal of Business Venturing ; social
Pure and Applied Geophysics ; earth
Journal of Global History ; humanities
Solid State Ionics ; engineering
Progress in Neuro-psychopharmacology & Biological Psychiatry ; brain
International Journal of Contemporary Hospitality Management ; social
Regional Studies ; social
Fibers and Polymers ; engineering
Solar Energy Materials and Solar Cells ; engineering
Naturwissenschaften ; bio
Journal of Hydrology and Hydromechanics ; earth
Acta Crystallographica Section C-crystal Structure Communications ; chem
Pediatric Surgery International ; medical
Polymer Degradation and Stability ; chem
Physical Geography ; earth
Netherlands Journal of Zoology ; earth
The Alkaloids: Chemistry and Biology ; brain
Annals of The American Academy of Political and Social Science ; social
Journal of Minimal Access Surgery ; medical
Phenomenology and The Cognitive Sciences ; brain
Zygote ; medical
Archives of Biological Sciences ; bio
Journal of Spinal Disorders ; health
Mathematical Methods in The Applied Sciences ; mathphysics
Proceedings of The National Academy of Sciences India Section A-physical Sciences ; chem
Journal of Applied Statistics ; social
Magnetohydrodynamics ; engineering
Levant ; earth
Canadian Journal of Human Sexuality ; medical
Bernoulli ; mathphysics
American Malacological Bulletin ; bio
Rocky Mountain Journal of Mathematics ; mathphysics
Scientia Horticulturae ; bio
COPD: Journal of Chronic Obstructive Pulmonary Disease ; medical
Geosphere ; earth
Engineering With Computers ; eecs
Diabetes Nutrition & Metabolism ; medical
Irish Veterinary Journal ; diseases
Science & Public Policy ; social
International Journal of Services Technology and Management ; social
Terra Nova ; earth
International Journal of Environment and Sustainable Development ; social
Journal of Robotic Surgery ; medical
Clinical Nursing Research ; health
Atomization and Sprays ; engineering
Iet Synthetic Biology ; diseases
Tribology Letters ; engineering
Avian Pathology ; diseases
Perspectives on Psychological Science ; social
Journal of Ecology and Field Biology ; bio
Journal of Applied Toxicology ; health
Biomedical Microdevices ; engineering
Journal of Wuhan University of Technology-materials Science Edition ; engineering
Science China-mathematics ; mathphysics
International Journal of Qualitative Studies in Education ; social
Evidence-based Eye Care ; health
Folia Parasitologica ; bio
Tissue Engineering Part C-methods ; health
Global Nest Journal ; engineering
Veterinary Research ; diseases
Cellular and Molecular Bioengineering ; diseases
Communications in Nonlinear Science and Numerical Simulation ; mathphysics
Annals of Science ; humanities
Revista Espanola De Cardiologia ; medical
Idealistic Studies ; humanities
Political Geography ; social
Astrophysical Letters & Communications ; mathphysics
Marine Mammal Science ; bio
Parallel Processing Letters ; eecs
Australian Journal of Forensic Sciences ; brain
History of Economic Ideas ; social
Forestry Studies in China ; bio
Experimental and Molecular Medicine ; medical
Contemporary Hypnosis ; health
American Journal of Nursing ; health
Ciencia Y Tecnologia Alimentaria ; chem
Biomedical Materials ; health
Geomagnetism and Aeronomy ; mathphysics
Journal of Consciousness Studies ; brain
Journal of Medical Internet Research ; health
Serbian Astronomical Journal ; mathphysics
Current Medicinal Chemistry ; chem
Neural Processing Letters ; eecs
Oxford Review of Economic Policy ; social
Ksme International Journal ; engineering
Intensive Care Medicine ; medical
Moscow Mathematical Journal ; mathphysics
Tetrahedron Organic Chemistry Series ; chem
IEEE Micro ; eecs
Journal of Immunotoxicology ; medical
Journal of Occupational Rehabilitation ; health
British Journal of Sociology ; social
Methods in Microbiology ; diseases
Revista Brasileira De Entomologia ; bio
Protein Science ; biotech
Multidiscipline Modeling in Materials and Structures ; engineering
Journal of Business-to-business Marketing ; social
English Studies in Canada ; humanities
The Journal of Marketing Theory and Practice ; social
Enfermedades Infecciosas Y Microbiologia Clinica ; diseases
Journal of Scholarly Publishing ; eecs
Experimental and Clinical Immunogenetics ; diseases
Mathematische Nachrichten ; mathphysics
Medicina Del Lavoro ; health
Cell Division ; diseases
FEBS Letters ; biotech
Liver ; medical
Biophysical Chemistry ; diseases
Smart Structures and Systems ; engineering
Epidemiologic Perspectives & Innovations ; health
Political Research Quarterly ; social
Frontiers of Energy and Power Engineering in China ; engineering
Progress in Biophysics & Molecular Biology ; brain
Language and Linguistics ; humanities
Current Drug Targets - Cardiovascular & Hematological Disorders ; medical
American Journal of Drug and Alcohol Abuse ; health
Applied Intelligence ; eecs
Scripta Materialia ; engineering
Annual Review of Immunology ; diseases
Journal of Investigative Surgery ; health
Eau Update Series ; medical
Policy, Politics, & Nursing Practice ; health
Revista Chapingo Serie Ciencias Forestales Y Del Ambiente ; bio
Transition Metal Chemistry ; chem
Food and Bioproducts Processing ; biotech
Acta Crystallographica Section B-structural Science ; chem
Aaps Pharmsci ; chem
Ultrasound Quarterly ; medical
Wool Technology and Sheep Breeding ; engineering
Environmental Forensics ; bio
International Zoo Yearbook ; diseases
Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology ; engineering
American Journal of Enology and Viticulture ; bio
Human Dimensions of Wildlife ; bio
Computer Music Journal ; social
Ultramicroscopy ; diseases
Journal of Leadership & Organizational Studies ; social
Cornea ; medical
Journal of Cellular Physiology ; medical
Journal of Trace and Microprobe Techniques ; chem
Synthesis Lectures on Image, Video, and Multimedia Processing ; eecs
Photonics and Nanostructures: Fundamentals and Applications ; eecs
Catalysis Today ; chem
Biology of the Cell ; diseases
Eurasip Journal on Audio, Speech, and Music Processing ; eecs
Journal of Experimental Education ; social
Peace Review ; social
American Music ; humanities
Neurotoxicology and Teratology ; brain
International Journal of Coal Preparation and Utilization ; engineering
Progress in Nuclear Magnetic Resonance Spectroscopy ; chem
Journal of Synchrotron Radiation ; mathphysics
Social Policy Journal of New Zealand ; health
Journal of Raman Spectroscopy ; chem
Care Management Journals ; health
Polar Record ; earth
International Journal of Agriculture and Biology ; engineering
Seminars in Arthroplasty ; health
Reproduction Nutrition Development ; diseases
Journal of Agricultural Economics ; social
Development Growth & Differentiation ; medical
Cin-computers Informatics Nursing ; health
International Review of Education ; social
Revista Chilena De Infectologia ; medical
Tijdschrift Voor Gerontologie En Geriatrie ; brain
Modern Drama ; humanities
Journal of Plant Physiology ; bio
Applied Mathematics and Optimization ; eecs
Management Learning ; social
Service Industries Journal ; social
Plainsong & Medieval Music ; humanities
Review of Economic Dynamics ; social
Geospatial Health ; earth
Acta Mechanica ; engineering
Journal of Light & Visual Environment ; mathphysics
Transactions of the American Mathematical Society ; mathphysics
Physiotherapy Theory and Practice ; brain
Language Culture and Curriculum ; social
Composites Part B-engineering ; engineering
International Review of Applied Economics ; social
Advances in Anatomic Pathology ; medical
Clinical Implant Dentistry and Related Research ; health
Herald of the Russian Academy of Sciences ; mathphysics
Journal of European Public Policy ; social
Hepac Health Economics in Prevention and Care ; health
Annual Review of Physiology ; diseases
Techniques in Shoulder and Elbow Surgery ; health
Applied and Computational Harmonic Analysis ; mathphysics
Technological and Economic Development of Economy ; engineering
Journal of Graph Theory ; mathphysics
Journal of Systems Engineering and Electronics ; eecs
Zeitschrift Fur Klinische Psychologie Und Psychotherapie ; health
Polish Journal of Veterinary Sciences ; diseases
Investigative Ophthalmology & Visual Science ; medical
Journal of Flood Risk Management ; earth
Indian Journal of Marine Sciences ; bio
Dynamics of Atmospheres and Oceans ; earth
Journal of E-government ; social
Behavioural and Cognitive Psychotherapy ; health
Journal of Applied Polymer Science ; chem
Ppar Research ; diseases
Journal of Strain Analysis for Engineering Design ; engineering
Journal of Cardiology ; medical
Integrative Cancer Therapies ; health
International Journal of Integrated Supply Management ; social
Journal of Volcanology and Geothermal Research ; earth
Mind ; humanities
International Journal of Environmental Technology and Management ; chem
International Social Security Review ; social
Gerontologist ; health
International Journal of Mining, Reclamation and Environment ; engineering
Current Cardiology Reviews ; medical
Endokrynologia Polska ; medical
Neurochemical Research ; brain
Population Ecology ; bio
Lecture Notes in Computer Science ; interdiscipline
Journal of Orthopaedic & Sports Physical Therapy ; health
Traumatology ; social
Applied Economics ; social
Journal of Aquatic Ecosystem Stress and Recovery ; bio
Perspectives in Plant Ecology Evolution and Systematics ; bio
Neural Computation ; eecs
Hematology Journal ; medical
Journal of Immunotherapy ; diseases
Annales Geophysicae ; mathphysics
Seminars in Fetal & Neonatal Medicine ; medical
Data Handling in Science and Technology ; chem
Politix ; social
Xenobiotica ; health
Walt Whitman Quarterly Review ; humanities
Resource Geology ; earth
Journal of Commonwealth Law and Legal Education ; social
Transcultural Psychiatry ; social
Wiley Interdisciplinary Reviews-nanomedicine and Nanobiotechnology ; health
Historical Research ; humanities
Journal of Combinatorial Optimization ; social
Nature Clinical Practice Gastroenterology & Hepatology ; medical
Algorithms for Molecular Biology ; biotech
Asian Women ; social
College Composition and Communication ; social
Homeopathy ; health
Sociobiology ; bio
Pferdeheilkunde ; diseases
Sociologia Ruralis ; social
Journal of Cardiac Failure ; medical
Health Services and Outcomes Research Methodology ; health
Paragraph ; humanities
Economic Systems ; social
Social Indicators Research ; health
Frontiers of Chemical Engineering in China ; chem
Iranian Journal of Environmental Health Science & Engineering ; engineering
Journal of Epidemiology ; medical
Polymer Chemistry ; chem
African Journal of Range & Forage Science ; bio
Journal of Mixed Methods Research ; social
Canadian Agricultural Engineering ; engineering
Focus on Geography ; social
International Journal of Selection and Assessment ; social
International Journal of Lifelong Education ; social
Cytokine & Growth Factor Reviews ; diseases
Cell Adhesion and Communication ; diseases
New Political Economy ; social
Biochemical Journal ; biotech
Computers & Mathematics With Applications ; mathphysics
Journal of Experimental Marine Biology and Ecology ; bio
Journal of Biochemical and Biophysical Methods ; biotech
Civil Engineering ; engineering
American Journal of Orthodontics and Dentofacial Orthopedics ; health
Briefings in Bioinformatics ; biotech
The Journal of Molecular Diagnostics ; diseases
Nursing Inquiry ; health
Journal of Teaching in Physical Education ; health
Research in Transportation Economics ; social
Journal of Virology ; diseases
International Journal of Ad Hoc and Ubiquitous Computing ; eecs
Periodica Polytechnica-civil Engineering ; engineering
International Journal of Web Engineering and Technology ; eecs
International Journal of Embedded Systems ; eecs
Biological Research ; chem
North American Journal of Aquaculture ; bio
Radiology ; brain
International Mathematics Research Papers ; mathphysics
Bragantia ; bio
World Rabbit Science ; diseases
Indian Journal of Traditional Knowledge ; chem
Acta Astronautica ; engineering
Brazilian Journal of Infectious Diseases ; medical
Current Biology ; medical
Electrophoresis ; chem
Sahara J-journal of Social Aspects of Hiv-aids ; health
Cultural Anthropology ; social
Cardiology Journal ; medical
Public Health Nursing ; health
New German Critique ; humanities
Language ; humanities
Australian Journal of Education ; social
Archives of Orthopaedic and Trauma Surgery ; health
Diabetes-metabolism Research and Reviews ; medical
Pigment & Resin Technology ; chem
Collectanea Mathematica ; mathphysics
Topics in Organometallic Chemistry ; chem
Social History ; humanities
Synthese ; humanities
Microbiology ; diseases
Diabetes ; medical
Biotechnology Law Report ; medical
Media, War & Conflict ; social
Fetal Diagnosis and Therapy ; medical
Russian Journal of General Chemistry ; chem
Journal of Paleontology ; earth
Turkish Journal of Medical Sciences ; health
Pacific Economic Review ; social
International Surgery ; medical
Pedagogische Studien ; social
African Invertebrates ; bio
Geographical Research ; social
International Journal of Molecular Medicine ; mathphysics
International Seminars in Surgical Oncology ; medical
International Review of Neurobiology ; brain
Zeitschrift Fur Padagogische Psychologie ; social
Journal of Breath Research ; chem
Reports on Progress in Physics ; mathphysics
Materials at High Temperatures ; engineering
Diogenes ; humanities
International Journal of Cancer Research ; medical
Annual Review of Information Science and Technology ; eecs
Symbolae Osloenses ; humanities
Journal of Scientific Exploration ; brain
Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca ; health
Expert Opinion on Investigational Drugs ; medical
Journal of Animal Breeding and Genetics ; diseases
Journal of Periodontology ; health
Futurist ; social
International Journal of Urological Nursing ; medical
Journal of Materials Science: Materials in Electronics ; mathphysics
PLOS Computational Biology ; biotech
Bulletin of The Iranian Mathematical Society ; mathphysics
Criminology ; social
Child Abuse Review ; social
Magnetic Resonance in Medicine ; brain
Journal of Mental Health Policy and Economics ; health
Nursing Ethics ; health
Journal of American Ethnic History ; social
Performance Measurement and Metrics ; eecs
Critical Care ; medical
Review of International Organizations ; social
Chemcatchem ; chem
Social Epistemology ; social
Autonomic Neuroscience: Basic and Clinical ; health
Journal of Construction Engineering and Management-asce ; social
Studies in American Fiction ; humanities
World Affairs ; social
Maturitas ; medical
Clinical Drug Investigation ; medical
Genes and Nutrition ; health
Assessing Writing ; social
Cultural & Social History ; humanities
Journal of Crystal Growth ; mathphysics
Geomechanics and Geoengineering ; engineering
Waste Management ; engineering
Fetal and Pediatric Pathology ; medical
Propagation of Ornamental Plants ; bio
Neural Regeneration Research ; brain
Artificial Intelligence Review ; eecs
Otjr-occupation Participation and Health ; brain
Zeitschrift Fur Psychiatrie Psychologie Und Psychotherapie ; health
European Neuropsychopharmacology ; brain
Trames-journal of The Humanities and Social Sciences ; social
Iet Nanobiotechnology ; engineering
Aktuelle Dermatologie ; medical
Australian Economic Review ; social
Research Policy ; social
Rice Science ; bio
Dance Research Journal ; social
British Journal for the History of Philosophy ; humanities
Polymer Composites ; engineering
International Journal of Leadership in Education ; social
Marketing Science ; social
Marine Pollution Bulletin ; bio
Advances in Cell Aging and Gerontology ; brain
Nachrichten Aus Der Chemie ; chem
Wiener Medizinische Wochenschrift ; health
Cryptogamie Mycologie ; bio
Journal of Molluscan Studies ; bio
Journal of Poverty ; social
Journal of Materials Science: Materials in Medicine ; health
Advances in Nutritional Research ; medical
European Journal of Plant Pathology ; bio
Journal of Controlled Release ; chem
International Journal of Operations & Production Management ; social
Ieej Transactions on Power and Energy ; eecs
Journal of The Formosan Medical Association ; medical
Journal of Computational Mathematics ; mathphysics
Computational and Mathematical Methods in Medicine ; mathphysics
Journal of Strategic Studies ; social
Veterinary Medicine ; diseases
Journal of Educational Measurement ; social
Seminars in Vascular Medicine ; medical
Mechanical Engineering ; engineering
Journal of Traditional Chinese Medicine ; medical
Physica A-statistical Mechanics and Its Applications ; mathphysics
Information Processing and Management ; eecs
American Indian Culture and Research Journal ; social
Advances in Clinical and Experimental Medicine ; medical
International Journal of Electrical Engineering Education ; eecs
Colombia Medica ; health
Neurogenetics ; medical
Catalysis Communications ; chem
Health Care Financing Review ; health
Astrobiology ; mathphysics
Journal of The Philosophy of Sport ; health
Laryngoscope ; brain
Journal of Business Research ; social
Structural Control & Health Monitoring ; engineering
Zentralblatt Fur Gynakologie ; medical
Temps Modernes ; social
Journal of Personality ; social
Preparative Biochemistry & Biotechnology ; biotech
Youth Studies Australia ; social
Food Quality and Preference ; biotech
Die Pharmazie ; health
Publications of the Astronomical Society of Japan ; mathphysics
Experimental and Molecular Pathology ; medical
Journal of Association of Physicians of India ; medical
Electronic Journal of Combinatorics ; mathphysics
Journal of Pelvic Medicine and Surgery ; medical
Journal of Learning Disabilities ; social
Planta ; bio
Critical Reviews in Clinical Laboratory Sciences ; medical
Materials Science Research International ; engineering
International Journal of Immunopharmacology ; diseases
Library Journal ; eecs
Leadership Quarterly ; social
Annals of Emergency Medicine ; health
Space Policy ; social
Estonian Journal of Archaeology ; earth
Aktuelle Urologie ; medical
European Societies ; social
Russian Journal of Physical Chemistry B ; engineering
Cancer Nursing ; social
European Journal of Entomology ; bio
Chinese Optics Letters ; eecs
Imf Staff Papers ; social
